Airport Code(Deprt.),Tail Number,Departure Date
DFW,502,12/1/2017
DFW,502,12/2/2017
DTW,502,12/3/2017
MCO,502,12/4/2017
PHL,502,12/5/2017
BWI,502,12/6/2017
BOS,502,12/7/2017
BWI,502,12/8/2017
LAS,502,12/9/2017
BWI,502,12/10/2017
BOS,502,12/11/2017
EWR,502,12/12/2017
IAH,502,12/13/2017
LAS,502,12/14/2017
ORD,502,12/15/2017
ORD,502,12/16/2017
ORD,502,12/17/2017
DFW,502,12/18/2017
DTW,502,12/21/2017
MCO,502,12/22/2017
LAX,502,12/23/2017
PHL,502,12/24/2017
PHL,502,12/25/2017
PHL,502,12/26/2017
DTW,502,12/27/2017
MCO,502,12/28/2017
PBI,502,12/29/2017
FLL,502,12/30/2017
MSY,502,12/31/2017
FLL,503,12/1/2017
MSY,503,12/2/2017
BOS,503,12/3/2017
DTW,503,12/4/2017
SAN,503,12/5/2017
PHL,503,12/6/2017
PHL,503,12/7/2017
ACY,503,12/8/2017
PHX,503,12/9/2017
ACY,503,12/10/2017
SAN,503,12/11/2017
PHL,503,12/12/2017
BWI,503,12/13/2017
IAH,503,12/14/2017
LAS,503,12/15/2017
TPA,503,12/16/2017
PIT,503,12/17/2017
BOS,503,12/18/2017
ACY,503,12/19/2017
LAX,503,12/20/2017
BWI,503,12/21/2017
CAK,503,12/22/2017
MCO,503,12/23/2017
MSY,503,12/24/2017
LAS,503,12/25/2017
ORD,503,12/26/2017
BWI,503,12/27/2017
BOS,503,12/28/2017
BWI,503,12/29/2017
BOS,503,12/30/2017
BWI,503,12/31/2017
CAK,504,12/1/2017
MCO,504,12/2/2017
ORD,504,12/3/2017
ORD,504,12/4/2017
DFW,504,12/6/2017
DTW,504,12/7/2017
MCO,504,12/8/2017
EWR,504,12/9/2017
LAS,504,12/10/2017
ORD,504,12/11/2017
BWI,504,12/12/2017
MCO,504,12/13/2017
FLL,504,12/14/2017
MSY,504,12/15/2017
LAS,504,12/16/2017
BWI,504,12/17/2017
BOS,504,12/18/2017
BWI,504,12/19/2017
BOS,504,12/20/2017
BWI,504,12/21/2017
BWI,504,12/22/2017
BOS,504,12/23/2017
BWI,504,12/24/2017
BWI,504,12/25/2017
EWR,504,12/26/2017
LAS,504,12/27/2017
TPA,504,12/28/2017
LAS,504,12/29/2017
ORD,504,12/30/2017
BWI,504,12/31/2017
MSY,505,12/1/2017
LAS,505,12/2/2017
BWI,505,12/3/2017
BOS,505,12/4/2017
BWI,505,12/5/2017
BWI,505,12/6/2017
BWI,505,12/7/2017
CAK,505,12/8/2017
MCO,505,12/9/2017
ORD,505,12/10/2017
BWI,505,12/11/2017
BOS,505,12/12/2017
EWR,505,12/13/2017
MCO,505,12/14/2017
ORD,505,12/15/2017
DFW,505,12/16/2017
DTW,505,12/17/2017
MSY,505,12/18/2017
LAS,505,12/19/2017
BWI,505,12/20/2017
LAS,505,12/21/2017
ORD,505,12/22/2017
ORD,505,12/23/2017
DTW,505,12/26/2017
MCO,505,12/27/2017
FLL,505,12/28/2017
SAN,505,12/29/2017
PHL,505,12/30/2017
IAG,505,12/31/2017
BWI,506,12/1/2017
BWI,506,12/2/2017
BOS,506,12/3/2017
BWI,506,12/4/2017
BWI,506,12/5/2017
EWR,506,12/6/2017
MCO,506,12/7/2017
FLL,506,12/8/2017
FLL,506,12/9/2017
BOS,506,12/10/2017
DTW,506,12/11/2017
SAN,506,12/12/2017
PHL,506,12/13/2017
PHL,506,12/14/2017
ACY,506,12/15/2017
SAN,506,12/16/2017
PHL,506,12/17/2017
BWI,506,12/18/2017
BOS,506,12/19/2017
EWR,506,12/20/2017
CAK,506,12/21/2017
MCO,506,12/22/2017
ORD,506,12/23/2017
ORD,506,12/24/2017
ORD,506,12/25/2017
IAH,506,12/26/2017
IAH,506,12/27/2017
LAS,506,12/28/2017
ORD,506,12/29/2017
DFW,506,12/30/2017
DTW,506,12/31/2017
LAS,507,12/1/2017
BWI,507,12/2/2017
BWI,507,12/3/2017
EWR,507,12/4/2017
CAK,507,12/5/2017
MCO,507,12/6/2017
MSY,507,12/7/2017
LAS,507,12/8/2017
ORD,507,12/9/2017
ORD,507,12/10/2017
DFW,507,12/11/2017
DTW,507,12/12/2017
MCO,507,12/13/2017
CAK,507,12/14/2017
MCO,507,12/15/2017
CAK,507,12/16/2017
MCO,507,12/17/2017
FLL,507,12/18/2017
ORD,507,12/19/2017
BWI,507,12/20/2017
BOS,507,12/21/2017
BWI,507,12/22/2017
