PNR,Departure Date,Tail Number,Airport Code(Deprt.),Airport Code(Arrvl.)
A4HE6L,12/19/2017,643,BWI,ATL
A4HV8L,12/20/2017,660,FLL,SJO
A4S9RL,12/2/2017,509,RSW,DTW
A4SVJL,12/14/2017,536,DTW,RSW
A4UF3Y,12/3/2017,672,BOS,FLL
A4VTKL,12/11/2017,601,MCI,LAX
A4W48L,12/24/2017,642,LAS,PHL
A4WH6Y,12/24/2017,682,BWI,FLL
A53G5Y,12/30/2017,531,MSY,MCO
A53PTL,12/9/2017,642,BOG,FLL
A53PTL,12/16/2017,625,BOG,FLL
A55CFL,12/22/2017,632,CLE,TPA
A56IRL,12/11/2017,680,FLL,ACY
A5C8XL,12/22/2017,639,CLE,LAS
A5EUSL,12/24/2017,665,LAS,DFW
A5EYVL,12/24/2017,614,DFW,LAX
A5FDHY,12/28/2017,602,DTW,BWI
A5FJKY,12/11/2017,672,CUN,FLL
A5I7XL,12/27/2017,508,LAX,OAK
A5JNNY,12/15/2017,657,IAH,TPA
A5KMFY,12/30/2017,609,ATL,BWI
A5LENY,12/14/2017,625,TPA,PIT
A5LKQY,12/5/2017,515,IAH,ORD
A5P5QY,12/15/2017,675,IAH,EWR
A5RVVY,12/13/2017,643,MCO,DFW
A5SBMI,12/16/2017,509,FLL,LAX
A5SWRY,12/2/2017,664,ORD,FLL
A5TU3V,12/3/2017,612,ATL,TPA
A5TWPY,12/15/2017,618,MCO,ORD
A5UMTI,12/10/2017,648,DFW,MCO
A61H7V,12/11/2017,628,PBG,FLL
A62F6V,12/12/2017,638,IAH,LAS
A62L9V,12/17/2017,612,OAK,LAS
A64RGI,12/17/2017,507,MCO,MSY
A6776F,12/17/2017,645,MCO,PIT
A67J3F,12/20/2017,607,BOS,MCO
A67JHI,12/2/2017,531,MSY,BWI
A67S5F,12/26/2017,629,FLL,PBG
A67ZPI,12/3/2017,679,ORD,RSW
A685SI,12/10/2017,635,MCO,PHL
A687NI,12/4/2017,642,ACY,MYR
A6EZ2F,12/17/2017,632,BWI,IAH
A6FT9F,12/16/2017,645,DFW,MCO
A6GN7F,12/16/2017,612,PHL,LAS
A6HJ9F,12/13/2017,628,RSW,MSP
A6JVMV,12/3/2017,626,MCO,MSP
A6KPRV,12/21/2017,622,DTW,TPA
A6KU4S,12/15/2017,639,PBG,FLL
A6MRYI,12/10/2017,625,ORD,DFW
A6N7GF,12/3/2017,641,CUN,DFW
A6NSMV,12/27/2017,530,LAS,DFW
A6PIPV,12/22/2017,647,PHL,DFW
A6PMPV,12/16/2017,631,PIT,MCO
A6QPUV,12/11/2017,530,MCO,BOS
A6QWSV,12/18/2017,642,PIT,TPA
A6RH6S,12/30/2017,512,MSP,ATL
A6SDQV,12/21/2017,658,FLL,ATL
A6SGQV,12/29/2017,658,SJU,FLL
A6TQ5S,12/20/2017,506,MSP,MSY
A6UVWV,12/27/2017,672,ORD,LAX
A6V8FF,12/2/2017,641,BDL,TPA
A6VMVV,12/18/2017,622,LAS,DTW
A6Z8YY,12/14/2017,668,RSW,ACY
A71B9S,12/10/2017,529,SAN,IAH
A739XV,12/10/2017,633,BDL,RSW
A754JF,12/28/2017,903,ACY,MYR
A75SKF,12/19/2017,657,IAH,EWR
A76UYV,12/3/2017,675,SJU,FLL
A77BJF,12/19/2017,612,RSW,ORD
A77MTF,12/23/2017,526,FLL,DEN
